# confusable-homoglyphs 3.3.1
1D694	k
212A	K
FF2B	K
1D40A	K
1D43E	K
1D472	K
1D4A6	K
1D4DA	K
1D50E	K
1D542	K
1D576	K
1D5AA	K
1D5DE	K
1D612	K
1D646	K
1D67A	K
39A	K
1D6B1	K
1D6EB	K
1D725	K
1D75F	K
1D799	K
2C94	K
41A	K
13E6	K
16D5	K
A4D7	K
10518	K
2223	l
23FD	l
FFE8	l
6F1	l
10320	l
1D7CF	l
1D7D9	l
1D7E3	l
1D7ED	l
1D7F7	l
1FBF1	l
FF29	l
2160	l
2110	l
2111	l
1D408	l
1D43C	l
1D470	l
1D4D8	l
1D540	l
1D574	l
1D5A8	l
1D5DC	l
1D610	l
1D644	l
1D678	l
196	l
FF4C	l
217C	l
2113	l
1D425	l
1D459	l
1D48D	l
1D4C1	l
1D4F5	l
1D529	l
1D55D	l
1D591	l
1D5C5	l
1D5F9	l
1D62D	l
1D661	l
1D695	l
1C0	l
399	l
1D6B0	l
1D6EA	l
1D724	l
1D75E	l
1D798	l
2C92	l
406	l
4C0	l
2D4F	l
16C1	l
A4F2	l
16F28	l
1028A	l
10309	l
1D22A	L
216C	L
2112	L
1D40B	L
1D43F	L
1D473	L
1D4DB	L
1D50F	L
1D543	L
1D577	L
1D5AB	L
1D5DF	L
1D613	L
1D647	L
1D67B	L
2CD0	L
13DE	L
14AA	L
A4E1	L
16F16	L
118A3	L
118B2	L
1041B	L
10526	L
FF2D	M
216F	M
2133	M
1D40C	M
1D440	M
1D474	M
1D4DC	M
1D510	M
1D544	M
1D578	M
1D5AC	M
1D5E0	M
1D614	M
1D648	M
1D67C	M
39C	M
1D6B3	M
1D6ED	M
1D727	M
1D761	M
1D79B	M
3FA	M
2C98	M
41C	M
13B7	M
15F0	M
16D6	M
A4DF	M
102B0	M
10311	M
1D427	n
1D45B	n
1D48F	n
1D4C3	n
1D4F7	n
1D52B	n
1D55F	n
1D593	n
1D5C7	n
1D5FB	n
1D62F	n
1D663	n
1D697	n
578	n
57C	n
FF2E	N
2115	N
1D40D	N
1D441	N
1D475	N
1D4A9	N
1D4DD	N
1D511	N
1D579	N
1D5AD	N
1D5E1	N
1D615	N
1D649	N
1D67D	N
